timestamp,P_it,post_gap_flag,GPU_Temp_Avg,GPU_Clock_Avg,Load Average ,cpus_util_cfg,cpus_util_elig,gpus_util_cfg,gpus_util_elig,memory_util_cfg,memory_util_elig,total_nodes_util_cfg,total_nodes_util_elig,hour_sin,hour_cos
2022-06-01 00:00:00+00:00,872.42004,0,48.30834611302939,1145.014780595448,41.58,0.4868196885599753,0.4868196885599753,0.7728646315140303,0.7728646315140303,0.5146404611856306,0.5146404611856306,0.25473327166204135,0.25473327166204135,0.0,1.0
2022-06-01 00:05:00+00:00,870.92004,0,48.37875990564978,1141.8625209036,56.06,0.4843586185630589,0.4843586185630589,0.770767807585569,0.770767807585569,0.5122026624653099,0.5122026624653099,0.2522664199814986,0.2522664199814986,0.0,1.0
2022-06-01 00:10:00+00:00,865.68,0,48.282818501251924,1137.6710724363477,79.22,0.4869333950046253,0.4869333950046253,0.7733580018501388,0.7733580018501388,0.5148521189870491,0.5148521189870491,0.2548566142460685,0.2548566142460685,0.0,1.0
2022-06-01 00:20:00+00:00,865.82,0,48.21408188941248,1130.093242879324,42.260002,0.4806824313906876,0.4806824313906876,0.7671600370027751,0.7671600370027751,0.508877645120259,0.508877645120259,0.24865864939870488,0.24865864939870488,0.0,1.0
2022-06-01 00:25:00+00:00,864.88,0,48.08868235720688,1115.2771640081532,88.689995,0.4868447425223559,0.4868447425223559,0.7733271662041319,0.7733271662041319,0.5146146363320999,0.5146146363320999,0.25488744989207524,0.25488744989207524,0.0,1.0
2022-06-01 00:30:00+00:00,860.02,0,47.99517135860321,1115.345107908539,30.460001,0.4874373650940487,0.4874373650940487,0.7738899167437557,0.7738899167437557,0.5150144999807277,0.5150144999807277,0.25565834104224483,0.25565834104224483,0.0,1.0
2022-06-01 00:35:00+00:00,860.72003,0,47.94929558222181,1117.5782039240603,95.3,0.4806390687634906,0.4806390687634906,0.7668979340117176,0.7668979340117176,0.5088538872186247,0.5088538872186247,0.24930619796484735,0.24930619796484735,0.0,1.0
2022-06-01 00:40:00+00:00,855.72003,0,47.72619932132859,1114.2608253638396,64.53,0.4765602571054898,0.4765602571054898,0.7701681074356439,0.7701681074356439,0.5052661049794253,0.5052661049794253,0.24517528469807648,0.24517528469807648,0.0,1.0
2022-06-01 00:45:00+00:00,852.07996,0,47.63105047720049,1108.6956250834892,78.42,0.4765918902251002,0.4765918902251002,0.7704517422139995,0.7704517422139995,0.5052525102143077,0.5052525102143077,0.2456059204440333,0.2456059204440333,0.0,1.0
2022-06-01 00:50:00+00:00,847.45996,0,47.49429772132243,1100.562562948746,79.479996,0.47000847980265187,0.47000847980265187,0.7637526981190256,0.7637526981190256,0.49959394272278757,0.49959394272278757,0.23937711995066296,0.23937711995066296,0.0,1.0
2022-06-01 00:55:00+00:00,849.75995,0,47.5745878837116,1098.0709604011138,126.39,0.469720359235276,0.469720359235276,0.7633518347209374,0.7633518347209374,0.500022678654024,0.500022678654024,0.23965464076472404,0.23965464076472404,0.0,1.0
2022-06-01 01:00:00+00:00,849.02,0,47.5130432720112,1101.5142063052465,78.33,0.46992079093432004,0.46992079093432004,0.7683626271970397,0.7683626271970397,0.5015529674491213,0.5015529674491213,0.2386679000925069,0.2386679000925069,0.25881904510252074,0.9659258262890683
2022-06-01 01:05:00+00:00,845.92004,0,47.58691354729995,1113.3072871277418,75.270004,0.47500385445575083,0.47500385445575083,0.7753854455750848,0.7753854455750848,0.5024701014685476,0.5024701014685476,0.244650015417823,0.244650015417823,0.25881904510252074,0.9659258262890683
2022-06-01 01:10:00+00:00,846.7,0,47.48565692065093,1111.819015935101,78.62,0.4775429771816219,0.4775429771816219,0.7742368177613321,0.7742368177613321,0.5006062914353994,0.5006062914353994,0.24909034844279987,0.24909034844279987,0.25881904510252074,0.9659258262890683
2022-06-01 01:15:00+00:00,841.32,0,47.08834946053999,1102.2753078059245,70.479996,0.47452012025901946,0.47452012025901946,0.7712072155411657,0.7712072155411657,0.4981473895698427,0.4981473895698427,0.24841196423065065,0.24841196423065065,0.25881904510252074,0.9659258262890683
2022-06-01 01:20:00+00:00,840.52,0,46.9663551686461,1089.4844672641723,85.619995,0.4636122763086542,0.4636122763086542,0.7602714600146735,0.7602714600146735,0.48869730992216653,0.48869730992216653,0.24016715046731954,0.24016715046731954,0.25881904510252074,0.9659258262890683
2022-06-01 01:30:00+00:00,841.12,0,47.135547366998914,1090.97780896304,3.72,0.46116828553808203,0.46116828553808203,0.7615787850755473,0.7615787850755473,0.48861734408726487,0.48861734408726487,0.2366327474560592,0.2366327474560592,0.25881904510252074,0.9659258262890683
2022-06-01 01:35:00+00:00,840.48,0,47.11528176829839,1089.7795574199017,152.68,0.4605170818845896,0.4605170818845896,0.7607020957606303,0.7607020957606303,0.4880939139805097,0.4880939139805097,0.23704105394111455,0.23704105394111455,0.25881904510252074,0.9659258262890683
2022-06-01 01:40:00+00:00,839.12,0,47.101837165610526,1090.046164115169,108.11,0.4591196423065063,0.4591196423065063,0.7597826086956522,0.7597826086956522,0.48746135426302806,0.48746135426302806,0.2357076780758557,0.2357076780758557,0.25881904510252074,0.9659258262890683
2022-06-01 01:45:00+00:00,838.6,0,47.11918831652656,1090.950943998205,130.37,0.46068744218316376,0.46068744218316376,0.762395929694727,0.762395929694727,0.48963602856151706,0.48963602856151706,0.23746530989824238,0.23746530989824238,0.25881904510252074,0.9659258262890683
